time,Temp,DAC,current 
1743191103.645,19.8755,6226,88.95
1743191103.773,19.8690,6226,73.31
1743191103.916,19.8742,6226,73.31
1743191104.040,19.8791,6226,88.95
1743191104.173,19.8782,6226,79.18
1743191104.301,19.8697,6226,79.18
1743191104.429,19.8715,6226,79.18
1743191104.557,19.8830,6226,87.00
1743191104.685,19.8764,6226,90.91
1743191104.813,19.8701,6226,85.04
1743191104.941,19.8675,6226,79.18
1743191105.085,19.8751,6226,77.22
1743191105.212,19.8799,6226,96.77
1743191105.341,19.8709,6226,73.31
1743191105.469,19.8791,6226,79.18
1743191105.597,19.8687,6226,81.13
1743191105.724,19.8726,6226,73.31
1743191105.853,19.8668,6226,98.73
1743191105.981,19.8668,6226,75.27
1743191106.108,19.8761,6226,77.22
1743191106.253,19.8756,6226,98.73
1743191106.372,19.8762,6226,77.22
1743191106.508,19.8676,6226,98.73
1743191106.636,19.8757,6226,98.73
1743191106.765,19.8718,6226,71.36
1743191106.892,19.8781,6226,92.86
1743191107.020,19.8810,6226,96.77
1743191107.148,19.8717,6226,96.77
1743191107.276,19.8780,6226,85.04
1743191107.404,19.8730,6226,83.09
1743191107.546,19.8695,6226,81.13
1743191107.676,19.8700,6226,83.09
1743191107.804,19.8727,6226,77.22
1743191107.932,19.8712,6226,96.77
1743191108.060,19.8679,6226,88.95
1743191108.188,19.8732,6226,83.09
1743191108.315,19.8667,6226,75.27
1743191108.444,19.8815,6226,73.31
1743191108.572,19.8750,6226,92.86
1743191108.715,19.8616,6226,73.31
1743191108.844,19.8650,6226,77.22
1743191108.972,19.8674,6226,75.27
1743191109.099,19.8786,6226,73.31
1743191109.227,19.8766,6226,98.73
1743191109.356,19.8747,6226,87.00
1743191109.484,19.8657,6226,73.31
1743191109.611,19.8762,6226,73.31
1743191109.740,19.8648,6226,87.00
1743191109.884,19.8656,6226,71.36
1743191110.011,19.8739,6226,77.22
1743191110.139,19.8739,6226,94.82
1743191110.267,19.8635,6226,96.77
1743191110.395,19.8725,6226,73.31
1743191110.523,19.8741,6226,96.77
1743191110.651,19.8688,6226,75.27
1743191110.779,19.8631,6226,96.77
1743191110.907,19.8743,6226,73.31
1743191111.051,19.8701,6226,73.31
1743191111.179,19.8722,6226,73.31
1743191111.307,19.8776,6226,98.73
1743191111.435,19.8778,6226,75.27
1743191111.563,19.8644,6226,92.86
1743191111.691,19.8630,6226,81.13
1743191111.819,19.8709,6226,88.95
1743191111.947,19.8747,6226,75.27
1743191112.075,19.8670,6226,88.95
1743191112.219,19.8727,6226,98.73
1743191112.346,19.8760,6226,92.86
1743191112.474,19.8723,6226,96.77
1743191112.602,19.8667,6226,96.77
1743191112.731,19.8683,6226,98.73
1743191112.859,19.8661,6226,81.13
1743191112.986,19.8694,6226,73.31
1743191113.114,19.8708,6226,81.13
1743191113.243,19.8610,6226,79.18
1743191113.386,19.8752,6226,77.22
1743191113.514,19.8610,6226,96.77
1743191113.642,19.8746,6226,77.22
1743191113.770,19.8632,6226,96.77
1743191113.898,19.8751,6226,94.82
1743191114.026,19.8623,6226,73.31
1743191114.154,19.8704,6226,73.31
1743191114.282,19.8687,6226,90.91
1743191114.410,19.8621,6226,90.91
1743191114.554,19.8732,6226,85.04
1743191114.682,19.8583,6226,73.31
1743191114.809,19.8738,6226,85.04
1743191114.938,19.8628,6226,85.04
1743191115.065,19.8694,6226,77.22
1743191115.193,19.8684,6226,73.31
1743191115.322,19.8709,6226,94.82
1743191115.449,19.8675,6226,77.22
1743191115.577,19.8721,6226,73.31
1743191115.721,19.8636,6226,90.91
1743191115.849,19.8756,6226,88.95
1743191115.977,19.8696,6226,75.27
1743191116.105,19.8767,6226,79.18
1743191116.233,19.8597,6226,83.09
1743191116.362,19.8602,6226,98.73
1743191116.489,19.8675,6226,77.22
1743191116.617,19.8680,6226,92.86
1743191116.740,19.8635,6226,90.91
1743191116.882,19.8610,6226,96.77
1743191117.018,19.8696,6226,73.31
1743191117.145,19.8738,6226,85.04
1743191117.273,19.8668,6226,73.31
1743191117.401,19.8619,6226,90.91
1743191117.529,19.8668,6226,73.31
1743191117.657,19.8592,6226,92.86
1743191117.785,19.8717,6226,94.82
1743191117.913,19.8698,6226,83.09
1743191118.056,19.8709,6226,75.27
1743191118.181,19.8568,6226,85.04
1743191118.312,19.8716,6226,83.09
1743191118.441,19.8707,6226,73.31
1743191118.569,19.8603,6226,83.09
1743191118.697,19.8691,6226,77.22
1743191118.824,19.8674,6226,73.31
1743191118.953,19.8565,6226,98.73
1743191119.080,19.8729,6226,98.73
1743191119.224,19.8689,6226,94.82
1743191119.353,19.8705,6226,75.27
1743191119.467,19.8660,6226,94.82
1743191119.594,19.8673,6226,81.13
1743191119.736,19.8619,6226,73.31
1743191119.864,19.8706,6226,98.73
1743191119.992,19.8660,6226,73.31
1743191120.120,19.8586,6226,90.91
1743191120.248,19.8727,6226,83.09
1743191120.392,19.8608,6226,81.13
1743191120.520,19.8674,6226,87.00
1743191120.647,19.8620,6226,79.18
1743191120.775,19.8608,6226,77.22
1743191120.903,19.8591,6226,94.82
1743191121.032,19.8627,6226,79.18
1743191121.160,19.8641,6226,79.18
1743191121.288,19.8661,6226,73.31
1743191121.416,19.8615,6226,75.27
1743191121.559,19.8686,6226,88.95
1743191121.688,19.8660,6226,71.36
1743191121.816,19.8638,6226,75.27
1743191121.934,19.8560,6226,96.77
1743191122.072,19.8597,6226,77.22
1743191122.199,19.8709,6226,81.13
1743191122.327,19.8539,6226,98.73
1743191122.455,19.8672,6226,73.31
1743191122.583,19.8633,6226,81.13
1743191122.712,19.8680,6226,85.04
1743191122.855,19.8697,6226,96.77
1743191122.983,19.8620,6226,75.27
1743191123.111,19.8568,6226,75.27
1743191123.239,19.8585,6226,79.18
1743191123.367,19.8525,6226,79.18
1743191123.495,19.8567,6226,77.22
1743191123.623,19.8654,6226,98.73
1743191123.751,19.8699,6226,81.13
1743191123.879,19.8562,6226,75.27
1743191124.023,19.8685,6226,88.95
1743191124.150,19.8659,6226,96.77
1743191124.279,19.8617,6226,81.13
1743191124.407,19.8637,6226,83.09
1743191124.534,19.8635,6226,77.22
1743191124.662,19.8613,6226,75.27
1743191124.791,19.8611,6226,96.77
1743191124.919,19.8621,6226,88.95
1743191125.047,19.8584,6226,73.31
1743191125.190,19.8679,6226,94.82
1743191125.318,19.8664,6226,88.95
1743191125.446,19.8645,6226,77.22
1743191125.574,19.8651,6226,75.27
1743191125.703,19.8595,6226,73.31
1743191125.830,19.8601,6226,87.00
1743191125.958,19.8578,6226,75.27
1743191126.086,19.8556,6226,85.04
1743191126.214,19.8683,6226,96.77
1743191126.358,19.8550,6226,81.13
1743191126.486,19.8568,6226,92.86
1743191126.614,19.8672,6226,77.22
1743191126.742,19.8549,6226,96.77
1743191126.869,19.8691,6226,77.22
1743191126.997,19.8507,6226,75.27
1743191127.126,19.8534,6226,92.86
1743191127.253,19.8523,6226,81.13
1743191127.382,19.8592,6226,96.77
1743191127.526,19.8619,6226,83.09
1743191127.653,19.8633,6226,73.31
1743191127.782,19.8596,6226,90.91
1743191127.907,19.8546,6226,88.95
1743191128.038,19.8651,6226,83.09
1743191128.165,19.8537,6226,79.18
1743191128.294,19.8670,6226,75.27
1743191128.422,19.8555,6226,73.31
1743191128.549,19.8530,6226,87.00
1743191128.694,19.8652,6226,73.31
1743191128.822,19.8562,6226,92.86
1743191128.949,19.8576,6226,81.13
1743191129.062,19.8583,6226,73.31
1743191129.205,19.8589,6226,79.18
1743191129.333,19.8607,6226,75.27
1743191129.461,19.8585,6226,98.73
1743191129.589,19.8654,6226,79.18
1743191129.717,19.8560,6226,98.73
1743191129.861,19.8574,6226,83.09
1743191129.989,19.8593,6226,83.09
1743191130.117,19.8551,6226,88.95
1743191130.238,19.8576,6226,73.31
1743191130.373,19.8572,6226,96.77
1743191130.501,19.8600,6226,79.18
1743191130.628,19.8614,6226,90.91
1743191130.757,19.8650,6226,98.73
1743191130.885,19.8635,6226,79.18
1743191131.028,19.8584,6226,90.91
1743191131.156,19.8582,6226,90.91
1743191131.284,19.8581,6226,73.31
1743191131.403,19.8596,6226,71.36
1743191131.541,19.8670,6226,92.86
1743191131.668,19.8480,6226,79.18
1743191131.796,19.8600,6226,71.36
1743191131.924,19.8622,6226,83.09
1743191132.053,19.8500,6226,73.31
1743191132.196,19.8521,6226,92.86
1743191132.324,19.8606,6226,73.31
1743191132.452,19.8506,6226,96.77
1743191132.573,19.8586,6226,96.77
1743191132.708,19.8560,6226,77.22
1743191132.836,19.8604,6226,81.13
1743191132.964,19.8484,6226,88.95
1743191133.092,19.8651,6226,81.13
1743191133.220,19.8564,6226,87.00
1743191133.364,19.8661,6226,73.31
1743191133.492,19.8528,6226,75.27
1743191133.619,19.8486,6226,81.13
1743191133.746,19.8502,6226,75.27
1743191133.876,19.8616,6226,81.13
1743191134.004,19.8604,6226,79.18
1743191134.131,19.8484,6226,77.22
1743191134.259,19.8614,6226,92.86
1743191134.387,19.8533,6226,75.27
1743191134.532,19.8559,6226,75.27
1743191134.659,19.8565,6226,92.86
1743191134.787,19.8566,6226,71.36
1743191134.915,19.8561,6226,79.18
1743191135.044,19.8613,6226,94.82
1743191135.171,19.8523,6226,71.36
1743191135.300,19.8548,6226,77.22
1743191135.428,19.8446,6226,73.31
1743191135.555,19.8574,6226,88.95
1743191135.699,19.8485,6226,73.31
1743191135.827,19.8502,6226,73.31
1743191135.955,19.8482,6226,81.13
1743191136.083,19.8563,6226,77.22
1743191136.211,19.8483,6226,75.27
